# Fonte: Wikidata SPARQL (P31=comune italiano Q747074, P635=codice ISTAT, P625=coordinata)
# Licenza: CC0 1.0 (Wikidata) - https://www.wikidata.org/wiki/Wikidata:Licensing
# Data di scarico: 2026-08-18
# Rigenerazione: npx tsx scripts/fetch-wikidata-territorial.ts
istat_code,latitude,longitude
005066,44.816944,8.295000
005071,44.848056,8.215000
005088,44.751944,8.450278
005103,44.965833,8.280278
005091,44.953056,8.028056
005074,44.831389,8.260000
005060,44.670000,8.259444
005031,45.041667,7.964167
005084,45.025000,8.071667
005028,44.878889,8.318333
005069,45.051111,8.266389
005022,44.752222,8.151389
005054,44.752950,8.421340
005094,44.593333,8.273333
005112,44.902778,7.965278
005099,44.818889,8.111111
005019,45.004136,8.007991
005100,44.755278,8.296389
005073,44.990278,8.025833
005025,44.982222,8.211667
005059,44.834167,8.181389
096001,45.699500,8.222100
005080,44.774722,8.355000
005113,44.636667,8.228333
005053,44.876050,7.994210
005056,44.999167,8.300556
005049,44.993889,8.137222
005068,44.649444,8.327778
005037,44.650000,8.244722
005070,45.069167,7.933611
005095,44.708333,8.346389
005076,44.821667,8.238611
005097,44.834444,8.064722
005081,44.586667,8.248056
005062,44.945833,8.035278
005036,44.874167,8.359722
005116,44.835000,8.230278
005017,44.720840,8.292820
005057,45.041389,8.311667
005030,44.789167,8.286111
005065,44.772500,8.449167
005044,45.001944,8.146389
005072,44.699722,8.391667
005040,44.827222,8.001944
005115,44.981389,8.358333
005087,44.957500,8.258056
005089,44.937222,8.341944
005029,44.803056,8.411111
005104,44.555000,8.260833
005077,44.983889,8.326389
005118,44.942778,7.938333
005024,44.722778,8.381111
005082,45.056667,8.019722
005020,45.023333,8.338056
005107,44.997222,8.079444
005023,44.960000,8.305556
005058,44.808889,8.376944
005018,44.903333,8.028611
005032,44.719167,8.416389
005120,44.811944,8.321944
005041,44.729167,8.146111
005039,44.976111,8.101111
005075,45.008333,8.112500
005098,44.611944,8.243611
005092,45.101652,8.101930
005045,44.960000,8.059444
005117,44.912778,8.032778
005046,45.015278,8.089167
001054,45.343349,7.380124
001036,45.492502,7.803289
001018,45.068636,7.816531
001088,45.297583,7.460458
001030,45.512860,7.858017
001055,45.118845,7.331914
001003,45.315150,7.305909
001017,45.410186,7.744158
001073,45.431952,7.235706
001039,45.155492,8.060103
001014,45.423459,7.993922
001044,45.139271,7.147717
001020,45.453558,7.856318
001033,45.267550,7.766600
001023,45.325527,7.873063
001046,45.245961,7.517235
001024,45.022097,7.579397
001029,45.417055,7.668515
001012,45.040275,7.901594
001062,45.104746,7.480817
001069,45.152137,8.051479
001010,45.527360,7.880318
001056,45.398258,7.960322
001015,45.386587,7.755447
001064,45.159251,7.889425
001057,45.583302,7.810406
001089,45.052194,7.297902
001070,44.785499,7.373841
055032,42.560771,12.646782
001082,45.190959,7.887186
001026,44.807952,7.116765
001050,45.327755,7.885121
001078,45.013884,7.822354
001058,44.906943,7.673225
001013,45.077944,7.398390
001093,45.117419,7.309455
001048,44.971416,7.778698
001079,45.417886,7.655795
001004,45.432959,7.950621
001068,45.121620,7.815946
001042,45.481160,7.933920
001051,44.959244,7.601722
001063,45.177490,7.646367
001043,45.329439,7.655732
001059,44.846947,7.717874
001001,45.367055,7.766918
001022,45.078339,6.703205
001071,44.861291,7.501270
001049,44.803249,7.323898
001052,45.373987,7.596127
001083,45.329915,7.759493
001077,45.498860,7.902619
001072,45.313377,7.389688
001035,44.823409,7.305296
001002,44.917042,7.484321
001040,45.142226,7.195648
001007,45.408916,7.578978
001074,44.952443,6.790673
001034,45.176607,7.838004
001076,45.148629,7.169445
001019,45.302505,7.215432
001080,45.119542,6.985306
001006,45.116876,7.394550
001094,45.313499,7.532087
069046,42.231211,14.390469
001027,45.470859,7.942020
001081,45.103913,7.326972
001031,45.363257,7.987523
001284,45.155150,7.445020
001021,45.291252,7.630317
001090,45.077547,7.572426
001045,45.068804,7.434488
001061,45.480159,7.905619
001092,45.431887,7.799592
001008,45.095724,7.525403
001091,45.422755,7.680040
011015,44.108044,9.828881
001016,45.275323,7.520282
001037,45.117437,8.073603
001025,44.798937,7.288219
001028,45.152145,7.657973
001067,45.438156,7.694615
001095,45.387758,7.991523
055011,42.863352,12.012974
001060,45.130451,7.940426
001085,45.094610,7.923964
001075,45.363669,7.341471
001084,45.428556,7.688115
001087,44.938799,6.750294
001041,44.873640,7.410320
001066,45.381955,7.712117
001038,45.021152,7.468551
001065,44.898142,7.566123
001086,45.235277,7.600308
001053,44.945941,7.330317
036040,44.551667,10.785556
001047,45.304955,7.895722
001011,44.843582,7.223816
001009,45.037748,7.870527
001032,45.122844,7.239712
001162,45.150900,8.016847
001164,44.995518,7.646618
001130,45.184582,7.713271
001158,45.065487,7.849601
001152,45.295129,7.394459
001157,45.205285,6.982500
001136,44.840941,7.635925
001137,45.441657,7.812718
001141,45.318401,7.766652
001111,44.837239,7.374420
001145,44.958515,7.056994
001191,44.887309,7.331945
001150,45.357182,7.882359
001166,45.243941,7.572993
001112,45.127113,7.824792
001146,45.255172,7.541984
001116,45.162248,7.496416
001131,45.228199,7.292045
