# Fonte: Wikidata SPARQL, proprieta' P1448 (nome ufficiale) e P1705 (native label)
# NON rdfs:label: in tedesco restituisce esonimi (Milano -> "Mailand"), non i nomi statutari
# Licenza: CC0 1.0 (Wikidata) - https://www.wikidata.org/wiki/Wikidata:Licensing
# Data di scarico: 2026-08-18
# Rigenerazione: npx tsx scripts/fetch-wikidata-territorial.ts
istat_code,alias
091044,Macomer
091046,Mamoiada
091046,Mamujada
091047,Meana Sardo
091050,Noragugume
091055,Oliena
091056,Ollolai
091057,Olzai
091058,Onanì
091059,Onifai
091060,Oniferi
091061,Orani
091062,Orgosolo
091063,Orosei
091064,Orotelli
091066,Ortueri
091068,Osidda
091070,Ottana
091071,Ovodda
091077,Sarule
091083,Silanus
091084,Sindia
091085,Siniscola
091086,Sorgono
091090,Teti
091091,Tiana
091093,Tonara
091094,Torpè
091024,Fonni
091024,Fonne
022176,Soraga
021030,Pfalzen
021031,Völs am Schlern
090061,Romana
115002,Bidumajore
115003,Ollasta Useddus
115004,Abas
095005,Allai
095006,Arborea
095007,Ardauli
095007,Ardaule
095008,Assolo
095009,Asuni
095010,Baradili
095011,Baratili San Pietro
095012,Baressa
095013,Bauladu
095015,Bonarcado
095016,Boroneddu
095079,Bosa
095017,Busachi
095018,Cabras
095019,Cuglieri
095019,Cullieri
095077,Curcuris
095080,Flussio
095020,Fordongianus
111023,Genoni
095021,Ghilarza
095022,Gonnoscodina
095023,Gonnosnò
095024,Gonnostramatza
095082,Laconi
095083,Magomadas
095025,Marrubiu
095026,Masullas
095027,Milis
095084,Modolo
095028,Mogorella
095029,Mogoro
095085,Montresta
095030,Morgongiori
095031,Narbolia
095032,Neoneli
095033,Norbello
095034,Nughedu Santa Vittoria
095035,Nurachi
095036,Nureci
095037,Ollastra
095039,Palmas Arborea
095040,Pau
095041,Paulilatino
095042,Pompu
095046,San Nicolò d'Arcidano
095050,San Vero Milis
095050,Sant 'Eru
095047,Santa Giusta
095047,Santa Justa
095049,Santu Lussurgiu
095049,Santu Lussurzu
095051,Scano di Montiferro
095052,Sedilo
095053,Seneghe
095054,Senis
095055,Sennariolo
095056,Siamaggiore
095057,Siamanna
095076,Siapiccia
095058,Simala
095059,Simaxis
095060,Sini
095061,Siris
095078,Soddì
095062,Solarussa
095063,Sorradile
095087,Suni
095064,Tadasuni
095065,Terralba
095088,Tinnura
095066,Tramatza
095067,Tresnuraghes
